Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Korea, Rep.",502291.3249,513662.9886,519073.4658,527071.8194,552731.2093,548063.1407,556372.9417,566265.5009,579146.0193,593082.0802,645046.5305,669063.4132,672464.7083,672869.5503,662402.3129,683376.3225,693722.7469,707446.3487,714466.5463,699175.6839,659329.6994
Lithuania,20400.98797,20851.17552,21211.75369,21386.50126,22363.22279,23504.22752,23636.62887,24649.59766,24087.47404,20511.30012,21316.66855,20784.51278,20704.41837,19812.43774,19359.6328,19619.97824,19644.71503,19565.53059,19652.27895,19779.96072,19784.73208
Luxembourg,9437.068241,10008.44868,10793.08364,11211.35535,12663.55929,12901.12298,12697.30746,12109.87906,12032.55031,11443.09647,12034.51682,11901.70845,11672.88304,11156.60756,10634.67368,10124.50943,9839.11791,10011.86329,10311.59007,10494.95324,8813.977022
Latvia,10908.84958,11401.59019,11441.08179,11701.00995,11682.83699,11874.26318,12408.13996,12832.0173,12493.79279,11713.74072,12854.22932,12213.05601,12012.26721,11940.18079,11884.57289,11928.83139,11764.31672,11701.90069,12237.61476,12086.47033,11436.59559
Mexico,539609.133,540750.6513,550227.3621,574856.9349,585563.9438,607693.6384,628006.0582,639933.8222,643156.3892,632549.2187,650218.3115,671736.1767,678448.8568,663759.5724,659021.4495,674268.1244,682791.4067,679728.327,651037.0505,659740.4104,592321.1717
Netherlands,206297.6914,207331.5018,207149.6259,207092.1178,208834.2779,203063.9173,198420.7132,197907.4734,195227.3733,190160.2349,200804.2066,187637.6544,186021.9823,185684.4457,178496.49,186745.193,187630.899,183624.9553,177770.9977,172216.6275,155912.4883
Norway,47470.80042,47733.75149,47266.93883,49302.93647,49605.69565,48582.47524,48903.33578,49228.64167,47915.59298,47509.93508,50072.21256,48984.39785,48622.79297,49358.48472,49413.87239,50089.67668,49555.44922,49218.35839,48529.45976,47609.66673,46116.8172
New Zealand,77211.86374,79897.75436,81063.1493,83584.88145,82969.51427,84374.95409,84525.10732,83401.24961,83368.12502,80493.8501,80643.49163,80100.90182,82553.95054,82181.45126,82810.63762,82190.23208,80796.86373,82414.82108,81806.76913,83180.27228,80158.02583
Poland,356692.1414,354133.0927,347723.1045,359244.4313,363465.7299,364880.8723,379241.399,379775.7841,373575.7752,358807.8559,377248.2243,373328.3673,366348.324,360557.2136,347384.6849,350541.6712,361341.4439,374716.3482,372925.7055,355380.9081,338383.8449
Portugal,78714.35724,78052.09705,82670.82672,78021.2855,79874.65009,82959.22104,77908.08279,76536.74874,74282.36094,73486.2919,68073.96507,67196.13929,65489.81718,63799.82422,63414.4256,67508.48674,66390.76779,70957.67981,66613.16462,61575.13853,55640.70734
Slovak Republic,45991.7078,46598.00342,46152.64336,46409.32544,45720.56559,46543.51953,46105.58041,45149.44878,45180.71764,41539.12029,43071.85402,41566.34562,39207.7126,39867.27252,37218.38948,37650.02496,38503.02744,40432.84011,39884.28728,38040.32725,35984.33182
Slovenia,17745.16722,18709.38982,18790.80783,18751.58987,18961.84317,19212.07351,19544.76978,19517.75294,20489.17942,18512.11234,18806.32624,18746.41536,18134.54044,17508.57904,16006.08164,16103.85818,16917.94554,17098.37017,16968.5195,16533.88594,15286.67677
Sweden,68330.26277,67195.27646,68557.21408,69556.38569,68081.26882,64256.01605,62698.45871,60690.57304,59447.76938,55495.49911,61014.40639,57207.56826,54382.48139,52592.53236,51285.95807,51265.79253,50783.37711,50356.36951,47719.34411,46792.36081,45458.82211
Greece,117890.194,118463.0903,118734.5681,121951.7383,122009.9986,124039.5174,122487.8583,126334.8302,121979.9986,115418.6914,108551.8706,105446.8603,101005.5609,93348.14063,90264.07466,88528.37065,87235.49873,86847.33102,84139.55801,78649.7728,69283.30669
Turkiye,283075.6235,261178.9429,271454.735,282946.6069,288963.7554,301420.0799,330635.1674,360254.5306,357394.6947,360935.7454,371145.2694,393957.1712,409510.1845,400372.7777,425731.3098,433860.5305,460806.4063,503113.7066,503525.2445,491454.856,504956.3259
