Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,4567274.433,4759814.089,5053060.571,5724514.257,6489937.932,7263558.578,7942463.982,8551053.498,8805331.438,9380446.702,10211636.79,11089792.42,11374795.58,11861843.52,11940737.42,11804696.79,11773340.79,12014198.87,12524335.16,12732245.13,12942868.34
United States,6810655.857,6759405.527,6605762.539,6670155.705,6752991.006,6772890.756,6683781.075,6787855.005,6601049.857,6184149.347,6454244.95,6254958.264,6036576.77,6177416.993,6224268.726,6112057.281,6003240.816,5947835.047,6154645.789,6039739.492,5505180.89
India,1719664.722,1742348.302,1762141.225,1803992.147,1892154.676,1966216.303,2064473.083,2209296.069,2310910.823,2457277.941,2569051.744,2681723.455,2832703.035,2900894.985,3083573.891,3104049.558,3147642.844,3269577.732,3436071.569,3412419.303,3200820.626
Russia,2137885.669,2150698.86,2152108.54,2223272.488,2218465.527,2243990.685,2281588.052,2291497.557,2291990.939,2161029.099,2249521.458,2340370.262,2316611.01,2280313.549,2264924.245,2249219.684,2246727.882,2282284.734,2371535.611,2419133.843,2331479.378
Japan,1278174.014,1255890.173,1286295.876,1293013.863,1282942.055,1289536.108,1269044.943,1304489.065,1234744.142,1177229.097,1234821.371,1292827.395,1336335.204,1352163.653,1305365.322,1268751.648,1258297.359,1241560.823,1198175.185,1157544.668,1094556.256
